word,expected_entropy,frequency
aahed,4.37636680767091,0
aalii,3.46984934059915,0
aargh,4.06577439926336,71592
aarti,4.60268416187032,63273
abaca,2.81229806050364,79841
abaci,3.5264379154365,0
aback,3.08511603896372,272920
abacs,3.96284434184215,0
abaft,3.45559840240589,19188
abaka,2.4638111702891,0
abamp,3.0801482328311,0
aband,3.62711408057498,0
abase,4.46376547867628,29383
abash,3.90727874407705,0
abask,3.48313469407888,0
abate,4.47124584066053,470646
abaya,2.41364721452089,84401
abbas,3.15964431569167,1437558
abbed,3.8878484939761,0
abbes,4.37363531220818,25330
abbey,3.56705097988282,4224864
abbot,3.77463527092512,992552
abcee,4.10425998079686,0
abeam,3.68698757478418,17316
abear,4.28451020025117,0
abele,4.40277869428631,62988
abers,5.31066741464564,0
abets,5.29743506313113,33014
abhor,4.4568967436337,169167
abide,4.79465784923439,3722809
abies,5.31866769957349,185002
abled,4.71572304496791,122479
abler,5.04438087651256,29740
ables,5.20639759588786,252284
ablet,5.08756175028158,0
ablow,3.90109232965005,15776
abmho,3.92938620573887,0
abode,4.72985295223216,1246541
abohm,4.00480768101751,0
aboil,4.5146478032046,0
aboma,3.37505953333182,0
aboon,3.67389505141368,0
abord,4.6069261122121,82154
abore,5.15624627692709,0
abort,4.97447315531976,1569892
about,4.45037449815198,1226734006
above,4.31235254590588,141894620
abram,3.55917546585069,610831
abray,3.45170174660141,13971
abrim,4.32236385660693,0
abrin,4.6268549131715,0
abris,5.00289138719221,21355
absey,4.53936991098434,0
absit,4.81446567392272,0
abuna,3.33667629443965,0
abune,4.57881782556166,0
abuse,4.81698654622807,36269685
abuts,4.69030218052939,106431
abuzz,2.38009723614809,101924
abyes,4.68686837075643,0
abysm,3.71692623259196,0
abyss,3.511878320287,1152408
acais,4.42871375446242,0
acari,4.12883254318338,80144
accas,3.39220182670854,0
accoy,3.31593383543353,0
acerb,4.72015620589993,0
acers,5.49287016731849,31994
aceta,4.40434687213296,0
achar,4.01742224561444,32197
ached,4.77448507033065,153141
aches,5.23747175128019,1116644
achoo,3.69752385416896,33177
acids,4.8610219013685,8793940
acidy,4.07477197475997,0
acing,4.21161489993936,35956
acini,3.78885862764433,24397
ackee,3.99468320568483,0
acker,4.72278905408654,317695
acmes,5.08189031657615,0
acmic,3.48427521377527,0
acned,4.90328380155814,0
acnes,5.33935736275909,44507
acock,3.46055501712801,0
acold,4.64918943587268,0
acorn,4.94075331905454,1825652
acred,5.18191998307975,0
acres,5.61633605244273,14208905
acrid,4.80484890456754,104638
acros,5.1962054138874,67908
acted,5.06004409321891,4468180
actin,4.7685874146827,1356491
acton,4.72658076858404,1309016
actor,5.03344472180953,16282891
acute,5.00440430447992,11128841
acyls,4.5059338540084,0
adage,4.1193232545334,419158
adapt,3.88361456249032,4675567
adaws,3.89713740547799,0
adays,3.80716235110426,13959
adbot,4.35267113500793,19586
addax,2.33009011300747,16108
added,3.53610725164481,118410414
adder,4.51313779038114,888956
addio,3.78840805318551,54645
addle,4.38429224762912,15267
adeem,4.20977014992163,0
adept,4.8219861473907,1595303
adhan,3.7033615501797,37011
adieu,4.86987639681867,274747
adios,5.0240574318157,348221
adits,5.28223773697896,12932
adman,3.53026605369589,30780
admen,4.72465006422878,0
admin,4.27755850575125,37835381
admit,4.57516110788847,8780656
admix,3.5935325098582,17678
adobe,4.68333096815655,27538755
adobo,3.46442844538361,73556
adopt,4.60972421203313,11272339
adore,5.40199464901335,1176240
adorn,4.9425978284795,464591
adown,4.21057738067546,15167
adoze,4.32923568521134,0
adrad,3.43787133889034,0
adred,4.61056976020351,0
adsum,4.1261417949745,0
aduki,3.80121108734355,0
adult,4.62098166330012,97583096
adunc,4.13478208508859,0
adust,4.79154288078631,0
advew,4.07732153455049,0
adyta,3.48076447633703,0
adzed,3.51173786230842,0
adzes,4.59860183516385,0
aecia,4.25798487542176,0
aedes,4.8863763689981,173718
aegis,5.26013159633605,1349788
aeons,5.59587841216695,92070
aerie,5.05368212909974,107043
aeros,5.71046381282999,137375
aesir,5.58653055912897,33093
afald,3.65750472274742,0
afara,3.13270963458621,0
afars,4.2666284426763,16470
afear,4.20816549278324,0
affix,2.74263729055811,444121
afire,5.13567800586916,113772
aflaj,2.81445227395699,0
afoot,3.93909008821257,364417
afore,5.10638562051595,191691
afoul,4.24974377792602,159727
afrit,4.82576570241329,0
afros,4.9025175327214,24950
after,5.12975293588652,372948094
again,3.82373980642638,150781416
