word	expected_entropy	frequency
shrug	4.60431	720506
duett	4.17035	16335
yaffs	3.39512	35604
sower	5.3433	137381
pawaw	2.57537	0
whorl	4.61635	241096
hewer	4.19364	29077
kudus	3.33838	0
tanhs	5.24449	0
wuxia	3.42375	57927
varna	3.81499	769723
ethos	5.09236	946491
youse	4.80452	103842
wases	4.60013	0
chuff	2.91364	13831
slots	4.81698	12452126
piker	4.61275	69323
grees	4.76494	31089
sadza	3.43534	0
conne	4.41516	50322
beaky	3.87847	22734
slopy	4.36986	0
infra	4.29152	1426499
quell	3.33528	292803
limba	4.12354	245623
peeks	3.99853	229261
dekko	3.48689	12832
froth	4.72609	278469
youks	4.01766	0
konbu	3.59324	0
koker	4.1622	0
ollas	4.52279	0
platy	4.39036	44469
ollav	3.58357	0
clots	5.23724	468861
confs	4.52193	70045
embed	3.49567	1217930
chirl	4.82133	0
about	4.45037	1226734006
dusts	4.0611	237576
dipso	4.48065	22748
camus	4.62571	415924
girsh	4.75357	0
cadre	5.33688	925745
dishy	4.09095	28360
pozzy	2.37081	0
noggs	3.96268	0
potto	3.32795	0
gages	4.60351	395070
raias	4.8633	0
frizz	2.78754	128481
evhoe	3.64815	0
feted	4.05814	72254
urent	5.16161	0
liart	5.5224	0
renin	4.46042	300995
stewy	4.54403	0
banya	3.15176	62734
reeve	3.54111	797352
diazo	3.93378	46955
fawns	4.33246	74673
lycea	4.51883	0
krubi	3.6688	0
rebec	4.04462	0
boaks	4.50577	0
eyass	4.24358	0
janes	4.88208	624883
doved	3.80326	0
fangs	4.34753	347216
hwyls	3.94592	0
rebut	4.67923	235254
kukus	2.65586	0
prahu	4.42027	0
praty	4.61686	0
larch	4.90783	267733
drank	4.50429	1777243
flays	4.31067	19928
phese	4.36675	0
gorse	5.39871	178549
iambs	4.48657	0
swire	5.31473	100466
elogy	4.22612	0
sorer	5.11165	0
medal	4.72207	7747036
haufs	4.44849	0
grids	4.78824	1562935
madam	2.94316	2023575
cored	5.27731	217931
rowts	5.14794	0
kanga	3.18398	132553
rozet	4.93384	17480
their	5.4404	782849411
saheb	5.05211	40056
quoit	4.17612	32350
stung	4.47584	404657
koras	5.07274	0
zones	4.78836	9719114
nonce	4.3291	382363
laids	5.24375	0
canoe	5.2108	3790795
tunds	4.78959	0
amice	4.91274	0
goony	3.39863	20285
weens	4.3942	0
amiss	4.29053	271389
torsi	5.44952	0
clame	4.94423	0
stray	5.0132	1807545
axels	4.90257	33994
pored	5.13708	56678
simar	5.17263	30450
noels	5.53031	34012
bones	5.19495	7717501
villi	2.67847	82864
pours	4.91021	540889
stivy	4.21064	0
champ	4.08062	2867858
upped	3.56968	298533
presa	5.22262	95089
mewed	3.68892	0
ybore	4.58032	0
birle	5.14896	0
jobes	4.45147	55138
tolus	5.26688	0
loipe	5.13204	0
barde	5.05404	14315
surer	4.73338	73497
farro	4.05765	14425
hypes	4.54395	40997
payed	4.45634	332515
tolar	5.54755	537047
suras	4.59335	28851
mizzy	2.2853	26918
runic	4.40404	185207
agave	3.73399	312239
heyed	3.79439	0
acari	4.12883	80144
vices	4.77216	995524
idees	4.66607	16744
niffs	3.62782	0
tegua	4.77244	0
becke	3.36334	33592
yupon	3.63537	0
agars	4.41634	0
nicer	5.01489	1239249
snail	5.22014	1580640
drear	4.61814	40377
blent	4.79503	0
schav	4.1565	0
tweak	4.46728	1705761
causa	4.0647	249786
funks	3.76871	21067
ngana	2.86724	0
puree	4.31077	438733
coyer	4.8824	15399
garth	4.91434	2176273
phizz	2.74885	0
urped	4.61711	0
hames	5.27948	159559
salts	4.84525	2144773
kheda	4.35891	18408
avyze	3.37916	0
rorty	4.15097	111131
rooks	4.16206	233375
since	5.28055	214302926
lions	5.31708	6980244
trone	5.70718	17745
cited	5.08957	11195944
calps	4.76617	0
vives	4.16507	117594
nandu	3.60091	22865
nival	4.28273	31420
mothy	4.20893	0
cital	4.93255	0
prunt	4.59253	0
rabbi	3.6721	3488700
summa	3.73174	545031
duits	4.98519	51993
smell	4.33359	6642666
proto	4.23839	2240138
repel	4.38397	439316
japed	4.13523	0
maund	4.32617	31677
props	4.28291	3032812
toged	5.08892	0
hoyas	4.70461	342866
umrah	4.43316	110045
mauri	4.58266	130018
toppy	3.52839	0
pogge	3.88951	58442
guyot	3.94658	92473
obias	4.7986	0
keeps	3.94644	13624468
otaku	4.35652	342874
scoup	4.32509	0
bluey	4.10719	75731
scout	4.91086	6176157
float	4.77772	8808655
cumec	3.59917	0
blogs	4.46124	46978262
blowy	3.5573	0
mobby	2.85718	0
unrid	4.53321	0
edify	3.76583	69341
petal	5.05996	895903
azans	3.72714	0
hated	5.22394	3173792
loges	5.35699	19568
dolia	4.70979	0
douts	4.99287	0
bijou	3.33604	341954
grebe	4.03715	332810
muzzy	1.92319	93181
awave	3.70519	20063
milky	3.59309	1515925
award	3.91897	59652161
slugs	3.88361	450646
aware	4.54306	25700328
dwile	4.68578	0
tabid	4.71184	77335
dawds	3.84032	0
knelt	4.65991	429464
bider	4.87611	0
bides	5.03251	16845
burds	4.3906	0
beats	5.36763	6367861
caved	4.53486	182199
lenes	4.82344	22995
thaws	4.8959	59505
beaty	4.60206	209357
slick	4.38748	2372634
cotan	5.00594	0
spics	3.9696	0
luser	5.21232	41074
casts	4.60525	1645690
spiky	3.78543	181090
heels	4.74057	4907543
abide	4.79466	3722809
chich	3.02614	23184
sados	4.54138	0
weals	5.25704	0
lippy	3.17592	49972
moira	4.92661	555353
moral	4.95378	13643598
tozes	5.12771	0
broos	4.2478	0
cirri	3.37015	0
lozen	4.48849	0
frist	4.94455	1284684
rodes	5.58183	46703
coeds	5.22195	673554
luges	4.9696	0
puggy	2.47462	23349
ponce	4.77131	773276
acros	5.19621	67908
skyfs	2.74644	0
trash	5.44404	7092806
cutie	5.02132	3305791
tragi	4.96969	21437
rebbe	3.39225	323839
snout	5.07581	258314
battu	3.68655	0
