word: wince	start: 1736660332.828661	end: 1736660333.865756
word: putti	start: 1736660333.865862	end: 1736660334.470682
word: mirky	start: 1736660334.470697	end: 1736660335.520859
word: sigil	start: 1736660335.520875	end: 1736660336.133935
word: putto	start: 1736660336.133952	end: 1736660336.719064
word: giant	start: 1736660336.719079	end: 1736660337.766928
word: breem	start: 1736660337.766944	end: 1736660338.382456
word: basta	start: 1736660338.382471	end: 1736660338.971355
word: recit	start: 1736660338.971380	end: 1736660340.033685
word: boner	start: 1736660340.033700	end: 1736660341.088126
word: baste	start: 1736660341.088146	end: 1736660342.133123
word: natty	start: 1736660342.133139	end: 1736660342.723412
word: hylas	start: 1736660342.723432	end: 1736660343.763233
word: jocos	start: 1736660343.763252	end: 1736660344.357879
word: basto	start: 1736660344.357897	end: 1736660345.411153
word: duked	start: 1736660345.411168	end: 1736660346.001397
word: slump	start: 1736660346.001421	end: 1736660347.087498
word: basts	start: 1736660347.087517	end: 1736660347.677450
word: ginzo	start: 1736660347.677465	end: 1736660348.750718
word: weeny	start: 1736660348.750735	end: 1736660349.353975
word: silen	start: 1736660349.353991	end: 1736660350.415847
word: sulus	start: 1736660350.415863	end: 1736660350.760638
word: siles	start: 1736660350.760655	end: 1736660351.343165
word: whizz	start: 1736660351.343179	end: 1736660351.958103
word: palpi	start: 1736660351.958118	end: 1736660352.525672
word: agape	start: 1736660352.525689	end: 1736660353.119262
word: niefs	start: 1736660353.119300	end: 1736660354.174034
word: ahing	start: 1736660354.174055	end: 1736660355.239074
word: scorn	start: 1736660355.239096	end: 1736660356.328218
word: tills	start: 1736660356.328235	end: 1736660356.913445
word: toddy	start: 1736660356.913461	end: 1736660357.528910
word: vertu	start: 1736660357.528927	end: 1736660358.575978
word: chizz	start: 1736660358.575994	end: 1736660359.183644
word: ureal	start: 1736660359.183661	end: 1736660360.339998
word: baken	start: 1736660360.340014	end: 1736660361.402793
word: berth	start: 1736660361.402811	end: 1736660362.467291
word: unsod	start: 1736660362.467312	end: 1736660363.507098
word: tewed	start: 1736660363.507120	end: 1736660364.102199
word: swept	start: 1736660364.102214	end: 1736660365.183676
word: harks	start: 1736660365.183692	end: 1736660366.237386
word: tehrs	start: 1736660366.237404	end: 1736660367.296206
word: dryad	start: 1736660367.296222	end: 1736660367.875377
word: creme	start: 1736660367.875393	end: 1736660368.476741
word: mesne	start: 1736660368.476758	end: 1736660369.068662
word: aread	start: 1736660369.068696	end: 1736660369.658903
word: saine	start: 1736660369.658920	end: 1736660370.749206
word: hygge	start: 1736660370.749221	end: 1736660371.312893
word: arear	start: 1736660371.312908	end: 1736660371.647650
word: owres	start: 1736660371.647665	end: 1736660372.707050
word: fauts	start: 1736660372.707074	end: 1736660373.757398
word: bongo	start: 1736660373.757413	end: 1736660374.357871
word: voila	start: 1736660374.357887	end: 1736660375.425531
word: tasks	start: 1736660375.425548	end: 1736660376.040541
word: felch	start: 1736660376.040563	end: 1736660377.114460
word: bongs	start: 1736660377.114476	end: 1736660378.196373
word: dress	start: 1736660378.196389	end: 1736660378.786380
word: nests	start: 1736660378.786395	end: 1736660379.372170
word: wines	start: 1736660379.372191	end: 1736660380.419582
word: sport	start: 1736660380.419600	end: 1736660381.500161
word: hokum	start: 1736660381.500175	end: 1736660382.563149
word: semie	start: 1736660382.563165	end: 1736660383.165728
word: winey	start: 1736660383.165742	end: 1736660384.212495
word: ataps	start: 1736660384.212511	end: 1736660384.800425
word: weeps	start: 1736660384.800441	end: 1736660385.366280
word: yoked	start: 1736660385.366299	end: 1736660386.417621
word: dazed	start: 1736660386.417638	end: 1736660387.012459
word: weepy	start: 1736660387.012474	end: 1736660387.610974
word: harls	start: 1736660387.610991	end: 1736660388.652235
word: akela	start: 1736660388.652281	end: 1736660389.248819
word: crena	start: 1736660389.248878	end: 1736660390.265866
word: solos	start: 1736660390.265882	end: 1736660390.598824
word: uplit	start: 1736660390.598839	end: 1736660391.672701
word: dazer	start: 1736660391.672716	end: 1736660392.756048
word: whale	start: 1736660392.756064	end: 1736660393.814320
word: ranee	start: 1736660393.814336	end: 1736660394.393246
word: ickle	start: 1736660394.393260	end: 1736660395.473584
word: mutes	start: 1736660395.473604	end: 1736660396.529146
word: serer	start: 1736660396.529165	end: 1736660396.880351
word: seres	start: 1736660396.880367	end: 1736660397.204215
word: oubit	start: 1736660397.204243	end: 1736660398.271953
word: famed	start: 1736660398.271969	end: 1736660399.306667
word: lowly	start: 1736660399.306687	end: 1736660399.899013
word: deeve	start: 1736660399.899030	end: 1736660400.257270
word: evite	start: 1736660400.257286	end: 1736660400.839934
word: kayak	start: 1736660400.839958	end: 1736660401.182287
word: kirby	start: 1736660401.182310	end: 1736660402.270360
word: evade	start: 1736660402.270380	end: 1736660402.868338
word: scots	start: 1736660402.868371	end: 1736660403.443794
word: potoo	start: 1736660403.443810	end: 1736660403.826432
word: menta	start: 1736660403.826448	end: 1736660404.883529
word: ejido	start: 1736660404.883544	end: 1736660405.967857
word: pecan	start: 1736660405.967873	end: 1736660407.035086
word: coirs	start: 1736660407.035123	end: 1736660408.097592
word: sanko	start: 1736660408.097607	end: 1736660409.173369
word: fetts	start: 1736660409.173389	end: 1736660409.765511
word: usure	start: 1736660409.765528	end: 1736660410.348374
word: mento	start: 1736660410.348389	end: 1736660411.416913
word: leish	start: 1736660411.416930	end: 1736660412.466800
word: coxes	start: 1736660412.466815	end: 1736660413.514698
word: cuffo	start: 1736660413.514713	end: 1736660414.117945
word: conns	start: 1736660414.117974	end: 1736660414.710911
word: civvy	start: 1736660414.710927	end: 1736660415.322214
word: flood	start: 1736660415.322234	end: 1736660415.920057
word: johns	start: 1736660415.920073	end: 1736660416.984828
word: clegs	start: 1736660416.984846	end: 1736660418.042671
