word: pared	start: 1736666369.940981	end: 1736666370.512906
word: pimps	start: 1736666370.512931	end: 1736666370.799608
word: dorms	start: 1736666370.799631	end: 1736666371.329290
word: adorn	start: 1736666371.329321	end: 1736666371.875471
word: soars	start: 1736666371.875494	end: 1736666372.161067
word: manna	start: 1736666372.161088	end: 1736666372.331993
word: hecht	start: 1736666372.332013	end: 1736666372.623134
word: graff	start: 1736666372.623157	end: 1736666372.935874
word: lured	start: 1736666372.935900	end: 1736666373.473009
word: mavis	start: 1736666373.473032	end: 1736666374.017004
word: lated	start: 1736666374.017025	end: 1736666374.576192
word: gumbo	start: 1736666374.576213	end: 1736666375.111608
word: swoop	start: 1736666375.111640	end: 1736666375.411691
word: expel	start: 1736666375.411723	end: 1736666375.707815
word: hater	start: 1736666375.707837	end: 1736666376.257078
word: chaco	start: 1736666376.257100	end: 1736666376.541554
word: brane	start: 1736666376.541576	end: 1736666377.071750
word: spina	start: 1736666377.071773	end: 1736666377.609322
word: clots	start: 1736666377.609345	end: 1736666378.137583
word: droid	start: 1736666378.137604	end: 1736666378.421109
word: mossy	start: 1736666378.421132	end: 1736666378.719141
word: voids	start: 1736666378.719166	end: 1736666379.259696
word: abate	start: 1736666379.259718	end: 1736666379.546067
word: ducky	start: 1736666379.546092	end: 1736666380.089583
word: antes	start: 1736666380.089604	end: 1736666380.626997
word: toile	start: 1736666380.627020	end: 1736666381.158787
word: touts	start: 1736666381.158808	end: 1736666381.442478
word: groan	start: 1736666381.442499	end: 1736666381.981009
word: askew	start: 1736666381.981032	end: 1736666382.515929
word: saucy	start: 1736666382.515952	end: 1736666383.060437
word: warms	start: 1736666383.060459	end: 1736666383.608379
word: colic	start: 1736666383.608400	end: 1736666383.897569
word: jiffy	start: 1736666383.897595	end: 1736666384.200240
word: cates	start: 1736666384.200262	end: 1736666384.740854
word: senza	start: 1736666384.740876	end: 1736666385.293012
word: curbs	start: 1736666385.293037	end: 1736666385.824067
word: cacti	start: 1736666385.824092	end: 1736666386.118641
word: broil	start: 1736666386.118662	end: 1736666386.665657
word: syrah	start: 1736666386.665680	end: 1736666387.204252
word: hells	start: 1736666387.204273	end: 1736666387.506445
word: oaths	start: 1736666387.506465	end: 1736666388.050306
word: giddy	start: 1736666388.050327	end: 1736666388.356367
word: silos	start: 1736666388.356391	end: 1736666388.644104
word: mezzo	start: 1736666388.644124	end: 1736666388.949860
word: drape	start: 1736666388.949883	end: 1736666389.492505
word: quack	start: 1736666389.492529	end: 1736666390.034133
word: caper	start: 1736666390.034154	end: 1736666390.592081
word: balsa	start: 1736666390.592101	end: 1736666390.888365
word: gulls	start: 1736666390.888387	end: 1736666391.185992
word: spode	start: 1736666391.186013	end: 1736666391.715223
word: islet	start: 1736666391.715246	end: 1736666392.253233
word: atmos	start: 1736666392.253255	end: 1736666392.783981
word: ember	start: 1736666392.784002	end: 1736666393.075287
word: glens	start: 1736666393.075315	end: 1736666393.622804
word: brunt	start: 1736666393.622825	end: 1736666394.161772
word: coals	start: 1736666394.161796	end: 1736666394.693281
word: lobes	start: 1736666394.693306	end: 1736666395.230654
word: molto	start: 1736666395.230677	end: 1736666395.530214
word: girth	start: 1736666395.530231	end: 1736666396.080139
word: vrouw	start: 1736666396.080161	end: 1736666396.632830
word: bathe	start: 1736666396.632851	end: 1736666397.186414
word: tempt	start: 1736666397.186436	end: 1736666397.487384
word: ozzie	start: 1736666397.487405	end: 1736666397.798816
word: arles	start: 1736666397.798842	end: 1736666398.335936
word: slurp	start: 1736666398.335963	end: 1736666398.880121
word: telly	start: 1736666398.880143	end: 1736666399.188309
word: plums	start: 1736666399.188330	end: 1736666399.741576
word: mated	start: 1736666399.741597	end: 1736666400.296397
word: aloft	start: 1736666400.296417	end: 1736666400.841203
word: nodal	start: 1736666400.841229	end: 1736666401.381023
word: amici	start: 1736666401.381047	end: 1736666401.681414
word: libri	start: 1736666401.681434	end: 1736666401.978097
word: posey	start: 1736666401.978128	end: 1736666402.521082
word: vulva	start: 1736666402.521104	end: 1736666402.807769
word: filly	start: 1736666402.807792	end: 1736666403.112914
word: foray	start: 1736666403.112937	end: 1736666403.647215
word: kelty	start: 1736666403.647238	end: 1736666404.198379
word: moped	start: 1736666404.198401	end: 1736666404.734964
word: gourd	start: 1736666404.734988	end: 1736666405.271398
word: fleer	start: 1736666405.271419	end: 1736666405.584449
word: puffs	start: 1736666405.584471	end: 1736666405.882076
word: sited	start: 1736666405.882097	end: 1736666406.421633
word: dazed	start: 1736666406.421654	end: 1736666406.717677
word: hants	start: 1736666406.717700	end: 1736666407.268445
word: therm	start: 1736666407.268467	end: 1736666407.806092
word: tabby	start: 1736666407.806114	end: 1736666408.111698
word: anion	start: 1736666408.111720	end: 1736666408.404979
word: savor	start: 1736666408.405001	end: 1736666408.956103
word: voila	start: 1736666408.956125	end: 1736666409.493563
word: curio	start: 1736666409.493585	end: 1736666410.035680
word: hough	start: 1736666410.035705	end: 1736666410.327580
word: emits	start: 1736666410.327601	end: 1736666410.860033
word: chock	start: 1736666410.860055	end: 1736666411.152060
word: cotta	start: 1736666411.152081	end: 1736666411.452339
word: torus	start: 1736666411.452362	end: 1736666411.991350
word: leger	start: 1736666411.991377	end: 1736666412.291540
word: popes	start: 1736666412.291561	end: 1736666412.577596
word: rowdy	start: 1736666412.577618	end: 1736666413.131007
word: algal	start: 1736666413.131029	end: 1736666413.293590
word: prawn	start: 1736666413.293612	end: 1736666413.833307
word: caged	start: 1736666413.833326	end: 1736666414.381761
word: sager	start: 1736666414.381782	end: 1736666414.931915
word: hilly	start: 1736666414.931938	end: 1736666415.234173
word: dwelt	start: 1736666415.234194	end: 1736666415.774928
word: tacos	start: 1736666415.774950	end: 1736666416.331130
word: footy	start: 1736666416.331152	end: 1736666416.629342
word: gusto	start: 1736666416.629372	end: 1736666417.158988
word: rigor	start: 1736666417.159008	end: 1736666417.445661
word: eared	start: 1736666417.445682	end: 1736666417.745241
word: grime	start: 1736666417.745270	end: 1736666418.279616
word: decoy	start: 1736666418.279642	end: 1736666418.823447
word: ravel	start: 1736666418.823471	end: 1736666419.382975
word: rasta	start: 1736666419.382995	end: 1736666419.677967
