word: pique	start: 1736663315.657898	end: 1736663316.347505
word: foley	start: 1736663315.65893	end: 1736663316.356634
word: noles	start: 1736663315.653802	end: 1736663316.360724
word: brusk	start: 1736663315.659013	end: 1736663316.382204
word: gerne	start: 1736663316.347644	end: 1736663316.745039
word: janns	start: 1736663316.356805	end: 1736663316.75121
word: melas	start: 1736663316.360845	end: 1736663317.067332
word: mawks	start: 1736663316.382319	end: 1736663317.113697
word: zincy	start: 1736663316.745154	end: 1736663317.448112
word: anker	start: 1736663316.751291	end: 1736663317.475098
word: spits	start: 1736663317.113805	end: 1736663317.524972
word: waist	start: 1736663317.067422	end: 1736663317.745956
word: amahs	start: 1736663317.448204	end: 1736663317.843025
word: sorbo	start: 1736663317.475197	end: 1736663317.879675
word: zooks	start: 1736663317.525073	end: 1736663317.933512
word: gaged	start: 1736663317.843115	end: 1736663318.229589
word: grana	start: 1736663317.87977	end: 1736663318.278252
word: ohias	start: 1736663317.746045	end: 1736663318.446603
word: scags	start: 1736663318.229682	end: 1736663318.621383
word: mummy	start: 1736663318.446692	end: 1736663318.672337
word: staig	start: 1736663317.933602	end: 1736663318.682862
word: sined	start: 1736663318.278348	end: 1736663318.993696
word: jemmy	start: 1736663318.68295	end: 1736663319.092316
word: raced	start: 1736663318.621472	end: 1736663319.334989
word: shakt	start: 1736663318.672461	end: 1736663319.398958
word: tasse	start: 1736663319.092411	end: 1736663319.500677
word: swive	start: 1736663318.993923	end: 1736663319.703129
word: vixen	start: 1736663319.335081	end: 1736663320.016724
word: plume	start: 1736663319.399047	end: 1736663320.101813
word: jouks	start: 1736663319.50077	end: 1736663320.218761
word: yates	start: 1736663319.70322	end: 1736663320.387458
word: leery	start: 1736663320.016815	end: 1736663320.407749
word: meves	start: 1736663320.218853	end: 1736663320.631036
word: mambo	start: 1736663320.387548	end: 1736663320.775038
word: orris	start: 1736663320.407844	end: 1736663320.804189
word: azurn	start: 1736663320.101903	end: 1736663320.815107
word: aiyee	start: 1736663320.815193	end: 1736663321.218178
word: mixes	start: 1736663320.631132	end: 1736663321.357038
word: maser	start: 1736663320.775139	end: 1736663321.486443
word: flaws	start: 1736663320.804277	end: 1736663321.501308
word: rewth	start: 1736663321.218268	end: 1736663321.928393
word: muley	start: 1736663321.357128	end: 1736663322.085074
word: thane	start: 1736663321.486541	end: 1736663322.186167
word: kyloe	start: 1736663321.501396	end: 1736663322.201645
word: reked	start: 1736663322.186256	end: 1736663322.593521
word: shivs	start: 1736663322.201735	end: 1736663322.603867
word: linum	start: 1736663321.928501	end: 1736663322.645282
word: lound	start: 1736663322.085165	end: 1736663322.831185
word: riffs	start: 1736663322.59361	end: 1736663322.999174
word: jembe	start: 1736663322.645395	end: 1736663323.039228
word: monic	start: 1736663322.603952	end: 1736663323.318687
word: recco	start: 1736663322.999265	end: 1736663323.396359
word: trons	start: 1736663322.831277	end: 1736663323.56911
word: porch	start: 1736663323.039381	end: 1736663323.738051
word: whups	start: 1736663323.318779	end: 1736663323.997223
word: yipes	start: 1736663323.396449	end: 1736663324.093035
word: moron	start: 1736663323.73814	end: 1736663324.143627
word: sixer	start: 1736663323.569202	end: 1736663324.310684
word: heald	start: 1736663323.997335	end: 1736663324.700807
word: leper	start: 1736663324.310776	end: 1736663324.728871
word: roate	start: 1736663324.093214	end: 1736663324.789215
word: vaute	start: 1736663324.143718	end: 1736663324.833313
word: bibes	start: 1736663324.700902	end: 1736663325.071158
word: deevs	start: 1736663324.728965	end: 1736663325.152014
word: loops	start: 1736663324.789312	end: 1736663325.196826
word: wahoo	start: 1736663324.833404	end: 1736663325.22141
word: winge	start: 1736663325.071255	end: 1736663325.754739
word: thugs	start: 1736663325.152105	end: 1736663325.885045
word: diota	start: 1736663325.196916	end: 1736663325.892129
word: raile	start: 1736663325.221528	end: 1736663325.928655
word: gases	start: 1736663325.892239	end: 1736663326.295815
word: hawse	start: 1736663325.754831	end: 1736663326.458391
word: ivory	start: 1736663325.885138	end: 1736663326.621065
word: gimpy	start: 1736663325.928764	end: 1736663326.628695
word: eking	start: 1736663326.295907	end: 1736663327.007394
word: biccy	start: 1736663326.621155	end: 1736663327.036787
word: payor	start: 1736663326.458482	end: 1736663327.169159
word: linac	start: 1736663326.628809	end: 1736663327.338913
word: vitta	start: 1736663327.036878	end: 1736663327.440688
word: stere	start: 1736663327.169251	end: 1736663327.581305
