word: aalii	start: 1736656680.138134	end: 1736656680.583640
word: aarti	start: 1736656680.138417	end: 1736656680.876093
word: aargh	start: 1736656680.138201	end: 1736656680.891511
word: aahed	start: 1736656680.138045	end: 1736656680.892938
word: abaca	start: 1736656680.584423	end: 1736656680.986748
word: abaci	start: 1736656680.876987	end: 1736656681.570467
word: aback	start: 1736656680.892288	end: 1736656681.588204
word: abacs	start: 1736656680.893616	end: 1736656681.607578
word: abaft	start: 1736656680.989496	end: 1736656681.720988
word: abaka	start: 1736656681.571123	end: 1736656681.978535
word: abamp	start: 1736656681.588850	end: 1736656682.282362
word: aband	start: 1736656681.608230	end: 1736656682.324287
word: abase	start: 1736656681.721706	end: 1736656682.418363
word: abash	start: 1736656681.979223	end: 1736656682.674137
word: abaya	start: 1736656682.419008	end: 1736656682.816428
word: abask	start: 1736656682.283003	end: 1736656682.980997
word: abate	start: 1736656682.324966	end: 1736656683.033730
word: abbas	start: 1736656682.674834	end: 1736656683.058783
word: abbed	start: 1736656682.817182	end: 1736656683.565318
word: abbes	start: 1736656682.981592	end: 1736656683.730117
word: abbey	start: 1736656683.034394	end: 1736656683.788133
word: abbot	start: 1736656683.059444	end: 1736656683.791846
word: abcee	start: 1736656683.566032	end: 1736656684.327600
word: abeam	start: 1736656683.730888	end: 1736656684.428462
word: abear	start: 1736656683.788925	end: 1736656684.496638
word: abele	start: 1736656683.792543	end: 1736656684.538363
word: abers	start: 1736656684.328288	end: 1736656685.661242
word: abets	start: 1736656684.429121	end: 1736656685.744690
word: abhor	start: 1736656684.497359	end: 1736656685.841337
word: abide	start: 1736656684.539002	end: 1736656685.853222
word: abies	start: 1736656685.661976	end: 1736656686.994247
word: abled	start: 1736656685.745284	end: 1736656687.074750
word: ables	start: 1736656685.853848	end: 1736656687.182510
word: abler	start: 1736656685.842140	end: 1736656687.190759
word: ablet	start: 1736656686.994915	end: 1736656688.315086
word: ablow	start: 1736656687.075402	end: 1736656688.392542
word: abode	start: 1736656687.191443	end: 1736656688.511599
word: abmho	start: 1736656687.183180	end: 1736656688.511847
word: aboma	start: 1736656688.512470	end: 1736656689.211971
word: aboon	start: 1736656688.513737	end: 1736656689.271871
word: abohm	start: 1736656688.315744	end: 1736656689.665012
word: aboil	start: 1736656688.393182	end: 1736656689.714675
word: abord	start: 1736656689.212693	end: 1736656690.567230
word: abore	start: 1736656689.272543	end: 1736656690.593119
word: abort	start: 1736656689.665643	end: 1736656691.032281
word: about	start: 1736656689.715313	end: 1736656691.043687
word: abram	start: 1736656690.593790	end: 1736656691.296471
word: abray	start: 1736656691.032912	end: 1736656691.757344
word: above	start: 1736656690.567995	end: 1736656691.899750
word: abrim	start: 1736656691.044334	end: 1736656692.381577
word: abrin	start: 1736656691.297128	end: 1736656692.635072
word: abris	start: 1736656691.758070	end: 1736656693.110446
word: absey	start: 1736656691.900407	end: 1736656693.244041
word: abuna	start: 1736656692.635733	end: 1736656693.340500
word: absit	start: 1736656692.382276	end: 1736656693.709560
word: abuzz	start: 1736656693.710199	end: 1736656694.458312
word: abune	start: 1736656693.111129	end: 1736656694.466024
word: abuse	start: 1736656693.244650	end: 1736656694.576881
word: abuts	start: 1736656693.341151	end: 1736656694.670472
word: abyss	start: 1736656694.577623	end: 1736656695.340165
word: acais	start: 1736656694.671236	end: 1736656695.355761
word: accas	start: 1736656695.356440	end: 1736656695.738179
word: abyes	start: 1736656694.458985	end: 1736656695.788310
word: abysm	start: 1736656694.466727	end: 1736656695.825637
word: acari	start: 1736656695.340826	end: 1736656696.036924
word: accoy	start: 1736656695.738837	end: 1736656696.475622
word: aceta	start: 1736656696.037521	end: 1736656696.742115
word: acerb	start: 1736656695.788948	end: 1736656697.113138
word: achar	start: 1736656696.476336	end: 1736656697.181512
word: acers	start: 1736656695.826301	end: 1736656697.198755
word: achoo	start: 1736656697.182358	end: 1736656697.933153
word: ached	start: 1736656696.742826	end: 1736656698.114829
word: aches	start: 1736656697.113883	end: 1736656698.469510
word: acids	start: 1736656697.199432	end: 1736656698.571437
word: acini	start: 1736656698.470196	end: 1736656699.215791
word: acidy	start: 1736656697.933936	end: 1736656699.267242
word: ackee	start: 1736656698.572081	end: 1736656699.337634
word: acing	start: 1736656698.115548	end: 1736656699.458137
word: acmic	start: 1736656699.338348	end: 1736656700.094782
word: acker	start: 1736656699.216524	end: 1736656700.548458
word: acmes	start: 1736656699.267929	end: 1736656700.600543
word: acned	start: 1736656699.458859	end: 1736656700.804945
word: acock	start: 1736656700.549190	end: 1736656701.299614
word: acnes	start: 1736656700.095505	end: 1736656701.458836
word: acold	start: 1736656700.601212	end: 1736656701.952562
word: acorn	start: 1736656700.805592	end: 1736656702.174506
word: acred	start: 1736656701.300497	end: 1736656702.642979
word: acres	start: 1736656701.459571	end: 1736656702.830244
word: acrid	start: 1736656701.953282	end: 1736656703.307882
word: acros	start: 1736656702.175237	end: 1736656703.530776
word: acted	start: 1736656702.643629	end: 1736656703.996112
word: actin	start: 1736656702.830987	end: 1736656704.188755
word: acton	start: 1736656703.308633	end: 1736656704.675183
word: actor	start: 1736656703.531446	end: 1736656704.899847
word: acute	start: 1736656703.996816	end: 1736656705.352836
